part,job,operation,machine,event,time,queue_length,queue_ops,delay
P1,J1,O11,M1,queued,0.0,1.0,O11,
P1,J1,O11,M1,start,0.0,0.0,,
P2,J2,O21,M1,queued,2.0,1.0,O21,
P1,J1,O11,M1,end,2.24024912597814,,,
P1,J1,O12,M1->M2,transfer,2.24024912597814,,,1.6855874498520602
P2,J2,O21,M1,start,2.24024912597814,0.0,,
P1,J1,O12,M2,queued,3.9258365758302,1.0,O12,
P1,J1,O12,M2,start,3.9258365758302,0.0,,
P3,J3,O31,M3,queued,4.0,1.0,O31,
P3,J3,O31,M3,start,4.0,0.0,,
P2,J2,O21,M1,end,4.874183958099014,,,
P2,J2,O22,M1->M2,transfer,4.874183958099014,,,1.6505598597900644
P2,J2,O22,M2,queued,6.524743817889078,1.0,O22,
P1,J1,O12,M2,end,8.307175030790283,,,
P1,J1,O13,M2->M1,transfer,8.307175030790283,,,0.8359685364774666
P2,J2,O22,M2,start,8.307175030790283,0.0,,
P1,J1,O13,M1,queued,9.14314356726775,1.0,O13,
P1,J1,O13,M1,start,9.14314356726775,0.0,,
P1,J1,O13,M1,end,10.738704674230911,,,
P1,J1,,,done,10.738704674230911,,,
P3,J3,O31,M3,end,11.701840670285392,,,
P3,J3,O32,M3->M1,transfer,11.701840670285392,,,1.2178959113583745
P3,J3,O32,M1,queued,12.919736581643766,1.0,O32,
P3,J3,O32,M1,start,12.919736581643766,0.0,,
P2,J2,O22,M2,end,13.056270225695547,,,
P2,J2,,,done,13.056270225695547,,,
P3,J3,O32,M1,end,16.293157904333093,,,
P3,J3,,,done,16.293157904333093,,,
